复星医药	昊海生科	港股医美概念股拉升，瑞丽医美涨12.66%，时代天使涨6.7%，复星医药涨3.11%，康哲药业涨1.39%，昊海生科涨0.73%
永太科技	宁德时代	云财经讯，永太科技公告，公司控股子公司永太高新的股东盈科恒通拟将其持有的永太高新25%股权以5亿元转让给宁德时代
顺威股份	华安证券	云财经讯，11月14日电，顺威股份公告，就公司持股5%以上股东蒋九明与华安证券股份有限公司质押式证券回购纠纷一案，合肥铁路运输法院将于2021年12月14日上午10时至2021年12月15日上午10时止(延时除外)在淘宝网司法拍卖网络平台进行公开拍卖蒋九明持有的顺威股份4500万股，占公司总股本的6.25%，且全部处于质押/司法冻结状态
万里马	海通证券	云财经讯，11月14日电，万里马公告，控股股东、实际控制人之一林大洲11月12日与林锦宏及海通证券签订了《股份转让协议》，拟通过协议转让方式向转让其持有的950万股无限售流通股（占公司总股本的2.88%），以偿还其在海通证券部分质押融资，降低股票质押风险
润建股份	农业银行	云财经讯，润建股份：近日中标中国农业银行股份有限公司广西壮族自治区分行《全行电气火灾智能监测采购项目》
联瑞新材	连云港	云财经讯，联瑞新材：拟使用自有资金2.5亿元人民币向全资子公司连云港联瑞进行增资，用于连云港联瑞投资年产15000吨高端芯片封装用球形粉体生产线建设项目等项目的建设和运营
中国电信	天邑股份	论坛上，中国电信公布了37家首批A级-产品供应商名单，天邑股份荣列其中
天邑股份	中国电信	天邑股份将与中国电信进一步加强合作，共同推动电信供应链生态的发展
中国石油	辽河油田	云财经讯，日前，中国石油辽河油田双台子储气库群双6储气库扩容上产工程正式采气投产
宁德时代	贵州茅台	宁德时代本周再度获得北上资金净买入逾13亿元，总持仓达到创纪录的1.84亿股，持仓市值本周也历史首次突破1200亿元，进一步逼近贵州茅台的持股市值
新国都	建设银行	云财经讯，记者获悉，近日，新国都旗下子公司新国都支付入围建设银行2021年全行收单用智能音箱采购项目
合盛硅业	中国中车	云财经讯，明晟公司（MSCI）：纳入MSCI新兴市场指数的市值前三大个股为合盛硅业，中国中车（CRRC），以及韩国《绝地求生》出品方魁匠团
中国人保	中国太保	四季度以来，外资继续加仓部分保险股，截至11月11日，外资对中国人保与中国太保的持股量分别较去年12月31日暴增90%、50%
工商银行	中国银行	中国工商银行、中国银行的个贷经理均表示，在上海的按揭贷款放款速度并未有明显变化，仍需半年左右
中国联通	中国银行	云财经讯，记者获悉，11月8日，中国联通与中国银行在京正式签署《中国联通和中国银行5G消息测试协议》，这是中国联通首次与金融行业企业签署5G消息合作协议
中国联通	中国银行	下一步，中国联通与中国银行将充分开展在“冬奥+5G消息+数字货币”等方面的合作
康希诺	生物股份	云财经讯，11月12日电，康希诺生物股份公司携全球首款吸入式腺病毒载体新冠疫苗克威莎亮相第五届海南健博会
浙江富润	上峰水泥	云财经讯，浙江富润：公司累计减持上峰水泥1.48%股份，减持均价为20.2元/股，本次减持金额约为2.43亿元
信濠光电	立讯精密	云财经讯，信濠光电：全资子公司广东信濠与立讯精密控股子公司立铠精密共同投资设立“立濠光电科技（东莞）有限公司（筹）”，专注于服务玻璃防护屏产品的欧美客户
力源信息	平治信息	截至11月10日晚间，已有多家元宇宙概念公司收到交易所发出的关注函或问询函，10日晚间，再有力源信息、平治信息等公司收到关注函
佳创视讯	中青宝	同时，佳创视讯、中青宝等公司回复了交易所有关元宇宙的问询函
中兴通讯	中国电信	云财经讯，11月10日，在2021国际数字科技展暨天翼智能生态博览会期间，中兴通讯与中国电信签署数字家庭战略合作协议，双方将聚焦各自核心竞争力，围绕产业数字化战略落地，深化现有合作基础、拓展合作领域
广和通	中国电信	广和通在本次博览会同期举办的“终端发展合作论坛暨中国电信终端产业联盟第十二次会员大会”上，与中国电信签约“5G模组及5G行业终端合作”，共同携手助推5G终端发展
重药控股	茂业商业	云财经讯，重药控股：股东茂业商业拟减持不超过3%
珠海港	秀强股份	云财经讯，珠海港：拟参与认购子公司秀强股份2021年度向特定对象发行A股股票，认购金额预计约2.35亿元
沈阳化工	联美控股	云财经讯，日前，在辽宁上市公司协会协调下，沈阳化工与联美控股就电石渣销售与采购达成合作
沈阳化工	联美控股	此次合作，拓宽了沈阳化工电石渣的销售渠道，也为联美控股找到了稳定且整体性价比较高的环保脱硫剂原料的采购来源
中国电信	紫光国微	在会上，中国电信联合紫光国微推出的天翼云卡一体服务首次亮相，中国电信集团、天翼数字生活等多个主展台都重点呈现了该服务与相关产品
长荣股份	振德医疗	云财经讯，记者从长荣股份获悉，日前，公司为振德医疗定制的首套全自动口罩生产线整体解决方案，顺利通过验收并成功投产
宁德时代	亿纬锂能	云财经讯，仅在过去1个月，以宁德时代、亿纬锂能等为代表的A股锂电龙头公司已经宣布了合计高达千亿元的投资扩产计划
宁德时代	亿纬锂能	”过去1个月千亿级的投资规模中，宁德时代、亿纬锂能占了半壁江山
恩捷股份	宁德时代	云财经讯，恩捷股份：与宁德时代开展合作，双方约定于中国境内共同投资设立一家有限责任公司作为平台公司，主要从事投资干法隔离膜及湿法隔离膜项目
宁德时代	西藏矿业	《记录表》显示，“中国宝武与宁德时代于2021年8月份签订战略合作协议，其中涉及到西藏矿业有两方面内容，要求说明该事项是否对你公司生产经营产生重大影响
比亚迪	天齐锂业	《记录表》显示，“公司正在紧锣密鼓安排股权激励计划，目前国务院预审意见已经反馈给公司”，“前期跟比亚迪和天齐锂业等小股东做了初步沟通，大小股东均更倾向于通过定增的方式，把子公司的股权翻上去，实现股份公司对西藏扎布耶的100%控股
瑞联新材	皖江物流	云财经讯，11月10日电，瑞联新材公告，根据自身资金需要，公司股东皖江物流、杨凌东方富海和东方富海一号拟以集中竞价及大宗交易的方式进行减持，预计减持股份合计不超过170万股，占公司总股本的2.42%
五洲新春	南钢股份	云财经讯，五洲新春：股东南钢股份拟减持不超过1.63%
天成自控	上汽集团	云财经讯，11月10日电，天成自控发布异动公告，近期，有媒体报道了公司联合上汽集团及科思创中国公司合作开发的碳纤维汽车座椅事宜
智光电气	广州发展	云财经讯，智光电气：控股孙公司广州华跃电力工程设计有限公司中标广州发展龙川龙母60MW林光互补项目EPC总承包项目，中标金额为1.2亿元
恺英网络	联合光电	云财经讯，记者获悉，恺英网络投资企业大朋VR（DPVR）宣布近期完成新一轮由联合光电旗下联芯基金、谦宜资本、小村资本等投资机构的千万美元级的联合投资
清源股份	建发股份	云财经讯，清源股份消息，公司与厦门建发股份有限公司（600153.SH）在厦门建发国际大厦举行合作签约仪式，双方拟投资成立一家合资公司
建发股份	清源股份	根据合资协议，建发股份将持有合资公司80%股权，清源股份持有20%股权
平煤股份	兰花科创	云财经讯，煤炭股持续走弱，晋控煤业、平煤股份、山西焦煤、兰花科创跌幅居前，消息上，动力煤期货主力合约跌幅扩大至5%
心脉医疗	创新医疗	云财经讯，11月9日，心脉医疗旗下上海蓝脉医疗科技有限公司自主研发的Vflower®静脉支架系统通过国家药品监督管理局（NMPA）创新医疗器械特别审查申请，进入特别审查程序“绿色通道”
新城控股	建业股份	另外，新城控股、建业股份等房企积极偿还到期美元债券或美元票据
海天味业	天味食品	云财经讯，近期，大众消费板块成为A股市场的主线之一，海天味业、天味食品等个股成为资金追捧的对象
三安光电	光电股份	根据泉州、南安市政府与三安光电股份有限公司签订的《投资合作协议》，经研究，同意拨付三安半导体设备购置补助1亿元
南天信息	农业银行	云财经讯，南天信息(000948)11月9日晚间公告，中标中国农业银行股份有限公司2021年鲲鹏PC服务器入围项目，中标金额14.8666亿元
川投能源	长江电力	云财经讯，川投能源：股东长江电力拟减持不超过4%
广发证券	长江证券	其中下半年以来，共有9家券商披露了最新的今年以来的新增借款规模，广发证券、长江证券前10个月累计新增借款分别超上年末净资产的20%和40%
桂冠电力	长江电力	云财经讯，桂冠电力：自2021年6月24日至2021年11月9日，长电投资累计增持公司1%股份；本次增持后长电投资持有公司1%股份，长电投资及其一致行动人长江电力持有公司11%股份
华东医药	创新医疗	云财经讯，华东医药：子公司产品肾小球滤过率动态监测系统进入创新医疗器械特别审查程序
华鑫股份	飞乐音响	云财经讯，华鑫股份：截至公开征集截止时间，飞乐音响收到上海国盛集团资产有限公司一家意向受让方提交的申请材料，将尽快组建评审工作小组对意向受让方进行评审；飞乐音响计划转让公司6%股份
彤程新材	华微电子	云财经讯，11月6日，在第四届进博会现场，杜邦电子与工业事业部与彤程新材旗下北京科华微电子材料有限公司宣布开展一项合作计划，为中国集成电路芯片制造商提供高性能光刻材料
圣湘生物	科华生物	云财经讯，圣湘生物：公司拟与科华生物合计出资5000万元，投资设立合资公司“湖南圣科生物技术有限公司”
安徽建工	安徽水利	云财经讯，11月8日电，安徽建工公告，三家控股子公司中标项目：安徽三建工程有限公司中标萧县凤城医院建设项目，中标价7.31亿元；安徽省公路桥梁工程有限公司联合体中标合肥新桥机场S1线合肥西站枢纽先行段工程土建施工总承包项目，中标价14.11亿元；安徽水利开发有限公司中标龙河口引水工程施工1标段，中标金额7.21亿元
华友钴业	兴发集团	云财经讯，11月8日电，华友钴业发布股价异动公告，近期，公司布局磷酸铁锂业务，分别与控股股东和兴发集团签订了《股权收购意向书》和《合作框架协议》，相关收购和合作事项仅表达交易双方的初步意愿，后续是否签订合同、签订时间及合同内容尚存在不确定性
双良节能	晶盛机电	云财经讯，11月8日电，双良节能公告，与晶盛机电签订的《单晶炉买卖合同》合同总金额由14.05亿元变更为22.43亿元
三峡能源	宁德时代	云财经讯，记者获悉，11月4日，三峡能源总经理、党委副书记赵国庆，与宁德时代储能事业部执行总裁苏晴、山东电工电气集团副总经理、党委委员陈刚一行在京举行座谈，三方就储能业务合作进行深入交流
三峡能源	宁德时代	三峡能源党委委员、副总经理刘姿，宁德时代储能事业部副总裁欧阳成新等参加座谈
宁德时代	三峡能源	苏晴表示，储能产业发展潜力巨大，宁德时代将携手山东电工电气与三峡能源共同探索储能业务发展，发挥各自优势，共同获取优质资源，构建新型储能系统，助力我国能源结构转型
长安汽车	宁德时代	云财经讯，长安汽车、华为、宁德时代此前曾宣布推出全新新能源品牌“阿维塔”
翰宇药业	九州通	云财经讯，11月8日，翰宇药业与九州通医药集团签署战略合作协议，共同推进翰宇药业妇科领域产品在国内的商业化落地
温氏股份	牧原股份	云财经讯，近日，温氏股份、牧原股份等个股快速上涨，使得此前陷入调整的生猪养殖板块重新进入投资者的视野
华友钴业	兴发集团	云财经讯，华友钴业：与兴发集团签署合作框架协议，在湖北宜昌合作投资磷矿采选、磷化工、湿法磷酸、磷酸铁及磷酸铁锂材料的一体化产业，建设50万吨/年磷酸铁、50万吨/年磷酸铁锂及相关配套项目
国检集团	北新建材	云财经讯，记者获悉，11月5日，国检集团与北新建材在京举行线上核心战略合作伙伴签约仪式
风华高科	交通银行	云财经讯，记者获悉，11月3日，风华高科与交通银行签署供应链金融合作协议
交通银行	风华高科	同时，交通银行肇庆分行副行长赵敏分别与现场10家经销商代表签订风华高科产业链项目合作意向协议，标志着风华高科与交通银行、经销商的合作迈上新台阶
中信海直	正帆科技	当天，禧禧艾商贸、零跑国际商贸、正邦集团、上海金仪盛世、上海维申医药、中信海直通用航空、正帆科技、芯瑞微等一批高能级总部项目、产业项目签约，行业领域覆盖先进农业、智能制造、航空、生物医药、半导体等
昊华能源	冀中能源	云财经讯，煤炭板块持续低迷，晋控煤业、昊华能源、冀中能源、华阳股份、山西焦煤等跌幅居前
国元证券	东吴证券	除了江海证券之外，开源证券、安信证券、国元证券、上海证券、联储证券、东吴证券等中小券商也纷纷参与其中
北方华创	华天科技	继15亿元投资入股芯片设备龙头北方华创后，大基金二期又参与国内封测龙头企业华天科技的定增，投资11.3亿元，获配股数为1.03亿股
中金公司	中泰证券	中金公司、江海证券、中泰证券等券商较为活跃，同时现身多家公司的流通股东榜单
欧派家居	东鹏控股	“十一”前后包括欧派家居、东鹏控股等在内的多家家居龙头企业宣布调价，涉及全屋定制、瓷砖、防水涂料、照明等多个领域，家居行业掀起新的一轮涨价潮
天津港	唐山港	项目建成后，将主要服务于天猫超市及阿里巴巴部分在京零售业务，借助平谷区服务首都高品质消费市场、紧邻河北省生产制造腹地、铁路连接天津港唐山港的区位优势，进一步提升首都商务物流配送效率和发展水平
南方轴承	泛亚微透	云财经讯，南方轴承(002553)11月5日晚间公告，董事会授权公司管理层以集中竞价交易、大宗交易或其他合法方式择机减持公司所持有的泛亚微透(688386)900万股股份，占其当前总股本的12.86%
金风科技	三峡能源	云财经讯，金风科技(002202)11月5日晚间公告，三峡能源于10月27日至2021年10月28日期间通过大宗交易方式减持公司0.92%股份；于11月4日通过大宗交易方式减持公司0.31%股份
东方雨虹	瑞和股份	云财经讯，东方雨虹：与瑞和股份签订战略合作协议，双方旨在光伏屋面一体化领域达成全方位的深度合作，在全国范围内共同推动“BAPV”和“BIPV”光伏发电项目，同时，在双方所辖业务渠道途径包含的各类建筑的修缮类、加固类、翻新类修缮项目，专项设备勘察技术咨询服务事项及由此衍生的修缮材料供应及施工项目开展合作
东方盛虹	连云港	云财经讯，东方盛虹(000301)11月5日晚间公告，公司将合计出资26.52亿元受让连云港盛虹炼化产业基金合伙企业（有限合伙）（简称“基金”）89.996%财产份额
长安汽车	宁德时代	云财经讯，长安汽车：控股子公司阿维塔科技（重庆）有限公司引入宁德时代与福建闽东的联合体、重庆承安与两江西证的联合体、南方资产与南方工业基金的联合体作为投资者
海汽集团	中信银行	云财经讯，海汽集团消息，11月5日上午，海汽控股、海汽集团公司与中信银行举行项目合作座谈会，双方围绕如何在海南建设自贸港背景下，结合海汽“十四五”发展规划，进一步加强银企合作进行了交流
宁德时代	迈瑞医疗	此次调整，多只科创板、创业板大市值公司满足上市时间门槛后有望被纳入沪深300，例如：中芯国际、宁德时代、迈瑞医疗
智飞生物	康泰生物	维持智飞生物、康泰生物增持评级
隆基股份	安集科技	云财经讯，浙江黎明、澳华内镜今日新股申购；国常会：审议通过“十四五”推进农业农村现代化规划；《区域全面经济伙伴关系协定》（RCEP）将于2022年1月1日生效；发改委：多家煤炭企业主动下调坑口煤价；隆基股份：公司对美国市场的发货仍在正常进行；安集科技：国家集成电路基金拟减持公司不超2%股份；美联储宣布维持基准利率不变，将于11月启动缩债计划；美股三大指数再创收盘新高
南天信息	农业银行	云财经讯，南天信息：预中标中国农业银行股份有限公司2021年鲲鹏PC服务器入围项目，项目金额预估14.8666亿元（不含税）
海欣食品	恒顺醋业	云财经讯，继海欣食品、恒顺醋业之后，又有A股食品公司宣布提价
贵州茅台	宁德时代	基金三季报显示，连续8个季度稳坐积极投资偏股型基金头号重仓股的贵州茅台，已让位于宁德时代
中国船舶	农业银行	云财经讯，11月3日，中国船舶集团有限公司与中国农业银行股份有限公司在京签署战略合作协议
农业银行	中国船舶	未来5年内，农业银行将为中国船舶集团提供1000亿元等值人民币意向性综合授信额度，为后续双方扩大合作广度和深度奠定了基础
北方导航	华西证券	云财经讯，11月4日电，北方导航公告，今日公司控股子公司中兵通信辅导机构华西证券收到河南证监局下发的《辅导工作的验收工作完成函》，河南证监局已完成华西证券对中兵通信申请公开发行股票并在精选层挂牌辅导工作的验收
云南白药	新华都	云财经讯，云南白药(000538)11月4日晚间公告，为进一步强化与万隆控股的战略协同，云南白药拟以白药香港作为要约人对万隆控股进行强制性全面要约收购，云南白药与新华都香港被视为一致行动人士，合计持有万隆控股30.46%股份
嘉凯城	中信证券	云财经讯，嘉凯城：股东广州凯隆拟将公司3.99%股份以2.358元/股价格转让给康曼德资管设立并管理的康曼德217号基金，总对价1.7亿元，用于归还广州凯隆在中信证券的质押债务本金
博睿数据	中国联通	云财经讯，记者从公司处获悉，博睿数据携手沙特电信（stc）、华为、香港电讯、中国联通、艾瑞咨询等电信运营商（CSP）和合作伙伴创新合作的“智能体验运营，释放商业潜能”催化剂项目荣获2021年全球电信管理论坛（TM Forum） 创新方案最佳实施奖
阳光城	东阳光	云财经讯，阳光城：控股股东阳光集团因其部分账户维持担保比例低于平仓线，于2021年11月1日-11月3日期间被动减持公司2.02%股份
金智科技	江苏新能	云财经讯，金智科技(002090)11月4日晚间公告，与国能江苏新能签订《战略合作协议》，双方将积极争取江苏区域“双碳”项目资源，公司向国能江苏新能提供具备备案条件的项目资源，2021年争取有项目落地，2022年起争取每年30兆瓦—50兆瓦
金智科技	江苏新能	云财经讯，金智科技：与国能江苏新能源科技开发有限公司签订《战略合作协议》，双方共同合作开发运营低碳园区、光伏、储能、充电桩等“双碳”相关项目，落地“双碳”相关技术应用
中青宝	国金证券	云财经讯，中青宝今日涨停，一机构卖出3007万元，国金证券上海浦东新区梅花路买入4013万元
比亚迪	深科技	除了自有产线，荣耀还将继续与比亚迪、深科技等代工厂保持合作
珠海冠宇	上汽集团	云财经讯，珠海冠宇：全资子公司冠宇动力电池收到上汽集团定点通知，上汽集团选择冠宇动力电池作为其定点供应商，为其开发和供应智己LS7车型的12V锂电池，冠宇动力电池将于2022年量产供货
浙商证券	恒生电子	云财经讯，记者获悉，今天上午，浙商证券与恒生电子正式签署战略合作协议
盈趣科技	中金公司	云财经讯，盈趣科技(002925)近日在接受包括易方达基金、中金公司在内的90人调研时表示，总体来说，对全年的业绩情况还是有信心的
中信证券	比亚迪	云财经讯，11月3日电，中信证券研报指出，比亚迪本次H股增发是继公司2016年A股定增、2021年初H股定增后再一次增发，资本将持续为公司发展赋能
比亚迪	天风证券	该基金吸引多方参与：既有比亚迪、浪潮、万国数据等科技龙头企业，红杉中国、天风证券等金融服务机构，也有科学城（广州）投资集团等大湾区骨干企业，清华同衡等知名机构，招商局集团等中央企业
绿地控股	荣盛发展	云财经讯，近日，绿地控股、荣盛发展等房企实现“三道红线”降档
中泰证券	东北证券	其中，中小券商火力全开，中泰证券、万和证券、中山证券、东北证券等表现最为活跃
红塔证券	游族网络	云财经讯，红塔证券公告，向原游族网络实控人林奇子女提起诉讼
中国船舶	建设银行	云财经讯，11月3日，中国船舶集团有限公司与中国建设银行股份有限公司在京签署战略合作协议
建设银行	中国船舶	建设银行将为中国船舶集团提供1000亿元等值人民币意向性融资额度，为后续双方扩大合作广度和深度奠定了基础
神州信息	神州数码	开幕式当天，神州控股、神州信息、神州数码集团与腾讯云举行高层会谈及战略签约仪式，宣布建立全面战略合作伙伴关系，将在金融科技、智慧城市、智慧产业链、云及数字化等方面展开全面对接与合作，共同推动数字技术与实体经济的深度融合，赋能金融、智慧城市、零售、汽车及泛企业的数字化转型
宁德时代	比亚迪	云财经讯，11月1日，华能碳资产经营有限公司发布了玉环电厂30MW/30MWh储能调频项目中标候选人公示，宁德时代、比亚迪分别是电池+BMS采购的第一第二中标候选人（北极星储能网）
长沙银行	新华联	云财经讯，长沙银行(601577)11月3日晚间公告，因未按约定偿还三湘银行融资本金，长沙中院将于11月17日10时起公开变卖新华联石油持有的公司4727.79万股股份，占公司总股本的1.18%
通威股份	京运通	基于专业分工、优势互补、合作共赢目的，通威股份旗下全资子公司四川永祥股份有限公司(“永祥股份”)与北京京运通科技股份有限公司(“京运通”)、晶科能源股份有限公司(“晶科能源”)就共同向一期10万吨高纯晶硅项目实施主体——四川永祥能源科技有限公司增资扩股及开展相关合作达成共识并签署协议
中银证券	比亚迪	云财经讯，中银证券研报称，2021三季度国内汽车销量受芯片短缺影响下滑11.8%，比亚迪新能源产品供不应求，推动销量逆势增长86.7%，实现归母净利润12.7亿元（-27.5%），业绩符合预期
天津港	营口港	这批“下水煤”总量为5万吨，日前从天津港顺利发出，运抵营口港后卸船，通过铁路运输到达七台河
中信博	固德威	云财经讯，11月1日，中信博首席财务官兼中信博电力公司总经理王程一行到访固德威苏州总部，固德威董事长黄敏、副总经理侯祥勇出席并见证双方代表签署战略合作协议，未来双方将在光伏领域尤其是BIPV领域展开全面合作
正元智慧	交通银行	云财经讯，正元智慧(300645)消息，近日，交通银行苏州分行发布苏州大学“一卡通升级”项目的招标结果通知书，正元智慧成功中标
名家汇	比亚迪	云财经讯，名家汇开盘冲高一度涨超8%，公司定增竞价结果出炉，比亚迪、瑞银现身认购名单
神州数码	工商银行	云财经讯，由神州数码方圆科技有限公司和神州数码信息系统有限公司提供技术支持，工商银行体育馆路支行参与调试，东城区税务局成功办理北京市首笔数字人民币缴纳委托代征税款业务
顺鑫农业	金种子酒	今年前三季度，除了皇台酒业、顺鑫农业和金种子酒外，其他16家酒企均交出了营收和净利润双增长的成绩单
五粮液	贵州茅台	此外，不管是营收还是净利润，五粮液和贵州茅台这两家公司合计占据了半壁江山，且在报告期内实现了稳健的增长
中信证券	广发证券	中信证券、广发证券成为券商资管领域的“双子星”，二者前三季度资管业务净收入占到全部41家上市券商的45.5%
宁德时代	贵州茅台	最新披露的数据显示，宁德时代已经替代贵州茅台，成为公募基金第一大重仓股
永鼎股份	通达电气	云财经讯，永鼎股份：公司将孟加拉国家电网升级改造交钥匙工程中实施管理部分分包至北京中缆通达电气成套有限公司负责具体实施，本次合作协议暂定金额折合人民币10.7亿元
康希诺	生物股份	云财经讯，11月2日电，据悉，今日，由康希诺生物股份公司自主研发的首批A群C群脑膜炎球菌多糖结合疫苗（CRM197载体）美奈喜®成功发运，即将开展大规模接种
三峡能源	金风科技	据介绍，作为三峡能源、金风科技与阜阳市政府战略合作协议的首个重要子项目，该项目总投资10亿元，将建设区域生产制造、区域研发和区域运营三大中心，打造大型风力发电机组等风电装备研发与生产制造基地
中国汽研	苏州高新	云财经讯，中国汽研：拟在苏州高新区建设通用技术集团中国汽研华东总部基地项目，规划总投资约20亿元；项目建设新能源汽车整车和“三电”研发测试能力，建设汽车零部件检测基地，拓展应用软件、工业软件、芯片等研发测试能力等
重庆钢铁	鞍钢股份	云财经讯，11月2日电，港股钢铁板块午后走低，重庆钢铁股份跌近6%，马鞍山钢铁股份跌超3%，鞍钢股份跌近3%
中国银行	浙商证券	国务院发展研究中心、中国社会科学院、国家信息中心、中国银行、浙商证券等有关专家学者参会，共同深入研判今年四季度和明年经济形势，重点分析面临的风险挑战、促进经济增长的主要动力和潜在亮点，并就明年财政货币政策思路、主要经济指标目标设置等发表意见建议
中青宝	昆仑万维	云财经讯，11月1日电，中青宝涨超15%，天下秀、数码视讯、昆仑万维、汤姆猫等冲高
南威软件	航天长峰	云财经讯，据南威软件集团消息，近日，南威软件集团与北京航天长峰科技工业集团签订战略合作协议
西藏矿业	久吾高科	云财经讯，11月1日电，西藏矿业披露的一份投资者关系活动记录表显示，针对未来产能规划，西藏矿业表示，锂盐方面，扎布耶盐湖一期原有太阳池计划扩产至1万吨设计产能（品位50-70%）；二期1.2万吨碳酸锂项目EPC+O合同已经进入前期准备工作，预计明年4月开工，2023年7月建成9月份投产；另外公司与久吾高科签订了100吨氢氧化锂中试合同，明年开始建设，2023年上半年完成，待中试成功后，后续考虑氢氧化锂建设产能规模1万吨以上
中信建投	华泰证券	云财经讯，据记者统计，截至10月31日发稿时，中信建投证券、华泰证券、平安证券等12家券商发布了11月投资组合报告，其推荐的逾百只A股“金股”覆盖电气设备、食品饮料、非银金融、房地产等多个行业
名家汇	比亚迪	云财经讯，名家汇(300506)11月1日晚间公告了公司拟募资2.55亿元，以简易程序向特定对象发行股票竞价结果：比亚迪认购金额3000万元、兴证全球基金认购金额3500万元、UBS AG（瑞银集团）认购金额2000万元、财通基金认购金额1300万、轻盐智选私募基金认购金额2400万元
金利华电	红太阳	云财经讯，11月1日电，金利华电公告，公司拟以发行股份及支付现金方式购买成都润博100%股权；同时拟向公司控股股东山西红太阳发行股份募集配套资金，募集配套资金总额不超过拟以发行股份方式购买标的资产的交易价格的100%，募集配套资金股份发行数量不超过此次交易前上市公司总股本的30%
创识科技	航天信息	云财经讯，创识科技：拟以支付现金方式参与航天信息股份有限公司所持北京捷文科技股份有限公司60%股权的公开转让竞拍
牧高笛	太平鸟	鸿星尔克、五菱汽车、小鹏汽车、薇诺娜、云鲸、添可、林氏木业、牧高笛、回力、蕉下、褚橙、方回春堂、太平鸟、bosie等国货品牌，在1小时内就超过了去年全天的销售额
宁德时代	天华超净	资料显示，宜宾天宜锂业是宁德时代、天华超净等的合资公司，主要致力于研发、生产、销售电池级氢氧化锂等锂电材料系列产品
海航基础	供销大集	根据《民事裁定书》，海南省高级人民法院裁定批准《海南航空控股股份有限公司及其十家子公司重整计划》、《海航基础设施投资集团股份有限公司及其二十家子公司重整计划》、《供销大集集团股份有限公司及其二十四家子公司重整计划》及《海航集团有限公司等三百二十一家公司实质合并重整案重整计划》，上述裁定为终审裁定
中信证券	比亚迪	云财经讯，10月30日电，中信证券研报指出，比亚迪2021Q3实现归母净利润12.7亿元，同比-27.5%，环比+35.6%；扣非归母净利润5.2亿元，同比-67.2%，环比+15%，业绩符合预期
康希诺	生物股份	针对全程接种国药集团北京生物制品研究所有限责任公司、国药集团武汉生物制品研究所有限责任公司、北京科兴中维生物技术有限公司生产的灭活疫苗，或康希诺生物股份公司生产的腺病毒载体疫苗满6个月的18岁及以上人群中实施新冠病毒疫苗加强免疫接种
华自科技	宁德时代	云财经讯，华自科技(300490)在接受机构调研时表示，公司与宁德时代一直保持着良好的合作关系，公司将积极跟踪宁德时代项目投资进程，争取更多订单机会
科大讯飞	国盾量子	云财经讯，10月28日获悉，科大讯飞与国盾量子签署战略合作协议
豫园股份	周大生	建议重点关注下游品牌零售商——豫园股份、周大福、周大生等，有望借助培育钻石品类，通过自身营销经验、设计能力、品牌背书获得更高溢价，实现整体更高的毛利率和销售收入
中信证券	宁德时代	云财经讯，10月29日电，中信证券研报指出，宁德时代2021Q3实现收入292.9亿元，同比+131%，环比+17.6%，归母净利润32.7亿元，同比+130%，环比+29.2%，扣非归母净利润26.85亿元，同比+125%，环比+19.5%，符合预期
南华期货	瑞达期货	云财经讯，A股上市期货公司南华期货和瑞达期货近日公布2021年三季报
中国石油	中国石化	云财经讯，10月28日晚间，“两桶油”中国石油和中国石化相继发布三季度业绩报告，前三季度两家合计营收3.88万亿元，净利润1349亿元，相当于日均约挣5亿元
阳光城	招商银行	云财经讯，阳光城周五跌停，从招商银行相关人士处获悉，网传招行对阳光城抽贷30亿情况不属实（21世纪经济报道）
金风科技	三峡能源	云财经讯，金风科技：股东三峡能源拟减持不超过2%
达安基因	安必平	云财经讯，达安基因(002030)10月29日晚间公告，公司全资子公司广州市达安基因拟出售所持有的安必平(688393)股票不超过348.6万股，占其总股本的3.73%
三湘印象	葛洲坝	三湘印象此前已联合湖南广电、葛洲坝等多家行业头部企业签署战略合作协议
东安动力	长安汽车	云财经讯，东安动力：公司及长安汽车与哈尔滨市人民政府、哈尔滨经济技术开发区管委会签署《新能源混动系统新基地项目投资协议书》，预计总投资12.5亿元，分三期进行建设
德迈仕	比亚迪	云财经讯，德迈仕在互动平台表示，公司电枢轴、EPS轴、雨刮轴、销子等多个产品已应用于特斯拉汽车中，除特斯拉外，公司新能源汽车产品最终使用客户还包括比亚迪、理想汽车、小鹏汽车、大众、本田、马自达、丰田等
中国动力	宁德时代	云财经讯，从多位知情人士处获悉，特斯拉已经向中国动力电池龙头企业宁德时代，为明年的销量计划预订45GWh磷酸铁锂电池，主要用于Model 3和Model Y车型
中望软件	力芯微	融资余额增幅较大的有中望软件、力芯微、中科微至等股
贵州茅台	宁德时代	超越贵州茅台，宁德时代成基金头号重仓股
贵州茅台	宁德时代	值得关注的是，三季度公募基金第一大重仓股易主，连续8个季度稳坐第一大重仓股的贵州茅台，在三季度被宁德时代反超，三季度末公募基金共持有宁德时代1171.22亿元
宁德时代	贵州茅台	云财经讯，刚刚披露完毕的2021年基金三季报显示，截至三季度末，宁德时代超越贵州茅台，首次成为公募基金头号重仓股
宁德时代	贵州茅台	数据显示，共有1225只基金重仓持有宁德时代，截至三季度末持仓市值高达1171亿元，超过了对贵州茅台的1092亿元持仓市值
