head,tail,sentence
复星医药,海利生物,【医药股行情“急刹车”，基金经理坚守赛道】“五一”假期后的首个交易日，A股震荡走低，医药板块遭遇重创，复星医药、海利生物等多只个股大跌
复星医药,康希诺,进入5月，港股止跌回升但相对弱势，餐饮、旅游板块下跌，钢铁、煤炭、有色金属等周期类股则继续走强，全球疫苗股遭遇“黑天鹅”，港股两大疫苗龙头复星医药和康希诺生物昨日一度跌逾20%
嘉寓股份,比亚迪,【嘉寓股份：子公司与比亚迪供应链签2.75亿元太阳能组件销售合同】嘉寓股份(300117)5月7日晚间公告，近日，子公司徐州嘉寓光能科技有限公司与深圳市比亚迪供应链管理有限公司签署《太阳能组件销售合同》及《补充协议》，合同暂定总价为2.75亿元，占公司2020年度营业收入20.79亿元的13.24%
拉卡拉,蓝色光标,【拉卡拉：拟向关联方收购蓝色光标1.44亿股股份】拉卡拉(300773)5月7日晚间公告，为进一步与蓝色光标(300058)通过战略协同、相互赋能提升双方服务中小微企业的能力，扩大双方目标客户的范围
中国电信,中国联通,今日晚间，中国电信、中国联通、中国移动均表示，纽约证交所维持公司美国存托股份下市决定
吉峰科技,世纪鼎利,记者注意到，从2020年8月开始，汪辉武的身影频繁出没A股市场，联手陈育新接连拿下吉峰科技和世纪鼎利等2家A股上市公司的控制权
牧原股份,温氏股份,【猪价持续下滑！牧原、温氏4月销售价跌至21元/公斤，外购仔猪育肥单头亏损近500元】从5月7日晚间披露4月销售数据来看，牧原股份(002714.SZ)、温氏股份(300498.SZ)的销量和价格数据尚在预期当中
中国人寿,平安银行,【险资一季度调仓动向出炉！银行股不那么“香”了，新进了这几家低估值中字头大票】界面新闻记者根据统计数据发现，若剔除国寿集团对中国人寿、平安集团对平安银行的持股市值(下同)，保险资金共出现在358家上市公司的前十大流通股股东名单当中，持仓总市值7038.33亿元
中远海控,比亚迪,热门股方面，中远海控涨超8%继续刷新阶段新高，年内累计涨幅近一倍；比亚迪股份盘中跌超5%，自今年一月高位以来回调近50%
绿茵生态,天箭科技,【午间公告：绿茵生态与天津北辰科技园区管理公司签订合作框架协议】绿茵生态：公司与天津北辰科技园区管理有限公司签订了《合作框架协议》，双方就园区城市建设、城市运营及维护等展开合作；天箭科技：持股比例8.39%的股东刘永红拟减持不超过100万股，即不超过总股本的1.39%
福莱特,洛阳玻璃,【光伏玻璃股继续下挫，福莱特玻璃(06865.HK)、信义光能(00968.HK)均跌逾6%】光伏玻璃股近日持续走弱，截至发稿，福莱特玻璃(06865.HK)跌6.54%，报19.16港元；信义光能(00968.HK)跌5.61%，报11.1港元；洛阳玻璃股份(01108.HK)跌1.79%，报6.05港元
复星医药,康希诺,疫苗概念股持续走弱，复星医药重挫逾22%，康希诺生物跌19%，国药控股跌逾12%
康希诺,复星医药,【港股疫苗概念股跌幅持续扩大】港股疫苗概念股跌幅持续扩大，康希诺生物跌超20%，复星医药跌逾16%
康希诺,复星医药,【行情】康希诺生物(06185.HK)持续下挫，现跌超20%；复星医药(02196.HK)现跌超17%
康希诺,复星医药,【行情】港股抗疫概念股盘初跌幅扩大，康希诺生物(06185.HK)跌超15%，复星医药(02196.HK)现跌12.5%，开拓药业(09939.HK)跌10%
复星医药,康希诺,复星医药、康希诺生物低开9.51%
国金证券,赣锋锂业,【国金证券：赣锋锂业量价齐升，主要项目进入投产期】国金证券研报认为，一季度受新能源汽车需求带动影响，国内碳酸锂和氢氧化锂需求旺盛
中信证券,紫光国微,【中信证券：给予紫光国微“买入”评级，目标价150元】中信证券研报认为，紫光国微是国内领先的集成电路设计企业，在特种集成电路及智能安全芯片领域实力强劲，参股公司紫光同创FPGA业务前景向好
高伟达,御银股份,此外，高伟达涨逾6%、御银股份涨逾4%
财通证券,中国银河,买二席位财通证券杭州转塘创意路买入3.1亿元；买四席位中国银河证券绍兴证券营业部买入2.0亿元并卖出2.6亿元
中信国安,江苏有线,【中信国安：子公司拟出售所持江苏有限股票不超过3亿股】中信国安5月6日下午发布公告称，公司全资子公司视京呈通信(上海)有限公司(以下简称视京呈)目前持有江苏有线3.63亿股无限售条件流通股，占比为7.25%
先惠技术,宁德时代,【先惠技术：与宁德时代累计签订2.92亿元合同】先惠技术(688155)5月6日晚间公告，从2021年1月4日起至今，公司累计收到宁德时代及其子公司各类合同及定点通知单金额合计约2.92亿元(不含税)
明德生物,科蓝软件,【高送转还香吗？这7家公司抛“10送转10”预案，明德生物、科蓝软件“一夜变卦”】截至目前，共有2989家A股上市公司披露2020年年度利润分配方案，占4287家已披露2020年年度报告A股公司总数的69.72%
游族网络,完美世界,另外，游族网络、完美世界也入围此次榜单，分列榜单19、25位
金能科技,潞安环能,焦炭供需阶段性趋紧，进入提涨周期，重点推荐金能科技、中国旭阳集团、潞安环能
交通银行,农业银行,【港股银行股集体走高】5月5日早盘，港股银行股集体走高，截至发稿，恒生银行、交通银行、农业银行涨超2%
江西铜业,中国铝业,【行情】港股钢铁、有色板块走强，截止发稿，五矿资源涨3.85%，江西铜业股份、中国铝业涨超1.8%
东方集团,鞍钢股份,西王特钢涨超10%，中国东方集团涨5%，鞍钢股份涨2.2%，马鞍山钢铁股份涨1.2%
中公教育,中国高科,界面新闻梳理发现，仅中公教育(002607.SZ)、中国高科(600730.SH)两家公司能够在疫情影响下保持营收、归母净利润双增长
中远海控,中国外运,可关注中远海控、中国外运等
美尚生态,跨境通,此外，美尚生态、跨境通等股票将于5月7日被实施退市风险警示
迪安诊断,美诺华,【100多位A股公司董事长给你写信了，赶紧看看写了点啥】据上证报资讯不完全统计，2020年年报中的董事长致股东信至少有110多封，其中金融类蓝筹公司及中字头央企占比较高，且“写信”的习惯延续多年；迪安诊断、美诺华等民企掌舵人，则是头一次提笔
贵州茅台,五粮液,贵州茅台今年只涨了0.44%，而五粮液则下跌2.35%，海天味下跌15.48%
招商银行,中远海发,盘面上，行业板块继续以轮动为主，昨日大涨的有色股早间小幅冲高后回落，金融股普遍上涨，其中又以银行股涨幅最大，恒生银行、招商银行涨逾3%；港口航运股延续近期强势，中远海发大涨9%；5G、内房股、中资券商股活跃
康希诺,复星医药,【港股医药股走低，开拓药业跌超7%】港股医药股走低，开拓药业跌超7%，康希诺生物跌4.5%，复星医药、亚盛医药跌近4%，再鼎医药、京东健康等跌3%
天津港,中远海控,永丰集团控股(1549.HK)涨超3%领涨，天津港发展、中远海控、太平洋航运涨超1%
紫金矿业,中国黄金,【行情】恒生指数震荡盘整，截至发稿，恒生指数涨0.01%，黄金概念股走强，紫金矿业涨逾4%，招金矿业、中国黄金国际涨逾2%
紫金矿业,中国黄金,【黄金概念股走强，紫金矿业(2899.HK)涨超5%】在港上市黄金概念股走强，紫金矿业(2899.HK)涨5%，招金矿业(1818.HK)、中国黄金国际(2099.HK)涨逾2%
中国平安,方正证券,【突发，2分钟闪电翻倍！巨变将至？众机构缘何看好券商】沉寂已久的券商股近期大消息连连，由于券商股被视作“牛市旗手”，这是否意味着市场将迎来红五月呢？4月30日傍晚，中国平安披露了关于参与方正集团重整进展的公告，此次重整中国平安拟收购的资产范围包括新方正集团下属医疗、金融、信息技术、教育、商贸及地产等板块的股权类、债权类及其他类资产，金融板块主要以方正证券、北大方正人寿保险为核心主体
渝农商行,无锡银行,从归属于母公司股东的净利润增长幅度来看，除了渝农商行外，其余7家A股上市农商行净利润均实现增长，无锡银行去年归属于母公司股东的净利润增长4.96%，领跑A股上市农商行
中材科技,卫星石化,截至2021年一季度末，其仍持有中材科技、卫星石化合计超2500万股股份，持股总市值超7亿元
紫金矿业,智飞生物,【年内最高涨逾120%！14家券商5月投资“金股”出炉，最看好的个股是这两只】据中国证券报记者不完全统计，截至5月3日发稿，已有14家券商发布了5月月度投资组合，涉及的123只金股中，紫金矿业、智飞生物最被看好
申万宏源,宏源证券,其中，银河证券、申万宏源证券、开源证券、联储证券和东海证券5家券商同行合计出资16.22亿元
中泰化学,卫星石化,【十大热门行业逐个看·化工篇：化工原料涨疯了，上市公司有多赚？】一季报显示，在化工三大类别中，尤以化学原料类上市公司业表现最为抢眼，40家上市公司中仅有3家ST个股亏损，有5家上市公司净利增速超过10倍，如中泰化学增长25倍，卫星石化增长18倍
*ST盐湖,万华化学,化学制品类公司业绩也不错，20家上市公司中，仅*ST盐湖亏损，龙头万华化学一季度营收313.12亿元，同比翻倍；净利润约66.21亿元，同比增长380.82%
韦尔股份,卓胜微,【半导体行业维持高景气！细分行业龙头业绩翻倍，集成电路龙头今年来涨幅居前】半导体行业整体处于景气周期，在去年相对较低净利基础上，今年一季度，半导体细分行业业绩实现翻倍增长，集成电路龙头韦尔股份今年一季度实现净利润10.41亿元，同比增长133.84%，芯片代工龙头中芯国际目前还未公布一季报业绩，公司预计将于2021年5月13日披露一季度业绩，射频芯片龙头卓胜微今年一季度增长224.34%，增幅同样可观
秦安股份,福安药业,【渝股秦安股份财务总监拟1000万增持，福安药业一注射液过一致性评价】5月1日，渝股秦安股份(603758)公告，公司财务总监余洋先生拟未来3个月内通过竞价交易方式增持公司股份，增持金额不低于300万元，不超过1000万元
华灿光电,三安光电,8月7日，记者从知情人士处获悉，华灿光电已经起诉三安光电侵犯其专利，法院已正式立案
华灿光电,三安光电,华灿光电要求三安光电停止制造、许诺销售和销售侵犯专利权的产品，并销毁全部用于生产侵权产品的设备以及相关模具，并赔偿华灿光电经济损失共记8000万元
华灿光电,三安光电,据悉，华灿光电（最新市值150多亿）起诉行业龙头老大三安光电（高达1800多亿）侵犯其专利，法院已正式立案（上证报）
普冉股份,雷电微力,在下周申购新股中，格科微、普冉股份、雷电微力均属于芯片概念股，具有“肉签”潜质
天华超净,永兴材料,百家机构调研股中，有两只锂电池概念龙头，分别是天华超净和永兴材料
英力特,国电电力,云财经讯，英力特：收到控股股东英力特集团通知，国电电力正在筹划与国家能源集团资产置换事宜，国电电力拟将持有英力特集团总股本的51.025%协议转让至国家能源集团
丰元股份,比亚迪,云财经讯，丰元股份8月8日在深交所“互动易”平台回答投资者提问时称：公司子公司丰元锂能在上半年通过比亚迪（002594）合格供应商审核，自2021年7月起，已根据接收到的比亚迪对磷酸铁锂的定期定量采购需求，正式开始批量供货
海康威视,迈为股份,安防龙头企业海康威视受关注度仅次于迈为股份，7月24日接待了90家基金公司的调研
四川长虹,长虹华意,云财经讯，8月6日，记者从四川长虹(600839)获悉，旗下长虹华意(000404)在上半年全球冰箱压缩机市场占有率首次突破30%，其中欧洲市场占有率接近40%
中国电信,中国联通,中国电信和中国联通2.1GHz基站联合招标24万站，超出市场预期，考虑到后续的3.5GHz基站，预计电联今年的新建基站数量将超过预期的32万站
越秀金控,中信证券,云财经讯，越秀金控高开高走涨超6%，公司或控股/全资子公司拟使用不超过23亿港币（含本数）或等值人民币，增持中信证券股份
荣安地产,华夏幸福,云财经讯，荣安地产跌近5%，华侨城、万科、华夏幸福、深深房等跌幅居前
比亚迪,合纵科技,云财经讯，8月6日，锂电池板块持续强势，截至发稿，比亚迪盘中市值首超9000亿，合纵科技涨停
中信证券,比亚迪,云财经讯，中信证券研报指出，7月比亚迪新能源汽车销售5.05万辆，同比+234%，环比+22%，符合预期；2021年1-7月公司新能源汽车累计销售20.51万辆，同比+171%，持续高景气
能辉科技,壹石通,云财经讯，今日可申购新股能辉科技和壹石通
赣锋锂业,比亚迪,电解液需求持续拉动，碳酸二甲酯价格连续大涨；5G消息联合实验室成立，华为及三大运营商参与；今年中国将努力向全球提供20亿剂疫苗；赣锋锂业拟84亿投建新型锂电池项目；比亚迪7月新能源汽车销量同比增逾2倍；中芯国际二季度业绩超预期，半导体行业景气提升；美股三大指数集体收涨，纳指、标普500指数创收盘新高
万华化学,中科创达,其中，社保基金持有市值最多的是万华化学，合计达45.89亿元；其次是中科创达，持有市值达28.81亿元
能辉科技,壹石通,云财经讯，今日可申购能辉科技和壹石通，能辉科技网上发行约为1065万股，发行市盈率14.61倍，申购代码为：301046，申购价格：8.34元，单一账户申购上限1.05万股，申购数量500股整数倍
东宝生物,国恩股份,云财经讯，东宝生物：控股股东东宝实业协议转让部分股份过户完成，本次协议转让过户登记完成后，国恩股份持有公司21.14%股份，为公司控股股东，王爱国、徐波为公司实际控制人
国轩高科,国泰君安,云财经讯，国轩高科3日累涨23%，龙虎榜数据显示，深股通买入16.67亿元并卖出14.90亿元，一机构买入2.05亿元并卖出1.39亿元，国泰君安南京太平南路买入2.55亿元并卖出3871万元
长春高新,安科生物,云财经讯，长春高新竞价逼近跌停，安科生物大跌9%，消息上，新华社发文揭示滥用生长激素危害
国药股份,中国医药,云财经讯，国药股份：公司所从事的主要业务为医药批发，不涉及疫苗、药物的研发和生产，疫苗、药物的研发和生产属于公司实际控制人中国医药集团有限公司，公司主营业务未发生重大变化
中金公司,宁德时代,云财经讯，中金公司研报指出，近日，宁德时代正式发布钠离子电池
德邦股份,先导智能,随着德邦股份、先导智能等战投锁价定增案例落地，针对战略投资者的要求逐渐有了更为清晰的答案
国新健康,中国医药,云财经讯，国新健康公告，公司拟与中资医疗医药应急保障平台及其他投资主体中国医药健康产业股份有限公司、华润医药控股有限公司、国药智能科技(上海)有限公司、中资数据科技有限公司、宁波梅山保税港区安资杰诺股权投资合伙企业(有限合伙)共同签署《关于中资医疗医药应急保障平台有限公司的增资协议》，公司拟以现金方式对中资医疗医药增资1200万元人民币
星云股份,宁德时代,云财经讯，星云股份：自2021年5月12日至2021年8月5日，公司连续4个月内与宁德时代及其控股子公司签订采购订单金额累计达到2.96亿元，占公司2020年度经审计主营业务收入的51.72%
天齐锂业,厦钨新能,云财经讯，天齐锂业(002466)8月5日晚间公告，公司参股公司厦钨新能8月5日在上交所挂牌上市，发行价格24.50元/股
格力地产,圣湘生物,云财经讯，格力地产：因至今未完成股权转让过户事宜，无法达到交易各方的预期，全资子公司珠海保联和圣湘生物经友好协商，决定终止《股份转让协议》
科华生物,圣湘生物,此前珠海保联拟将科华生物9586.3万股股份转让给圣湘生物
圣湘生物,科华生物,云财经讯，圣湘生物(688289)8月5日晚间公告，公司拟通过协议方式购买珠海保联持有的科华生物9586.30万股股份（占科华生物总股本的18.63%），因至今未完成股权转让过户事宜，无法达到交易各方的预期，依据协议交易双方约定于本阶段终止股份转让事宜
越秀金控,中信证券,云财经讯，越秀金控(000987)8月5日晚间公告，公司或控股/全资子公司使用不超过23亿港币（含本数）或等值人民币，增持中信证券股份
申能股份,长江电力,云财经讯，申能股份(600642)8月5日晚间公告，股东长江电力的一致行动人长电投资于4月19日至8月4日，累计增持公司4912.03万股，占公司总股本的1.00%
力源信息,比亚迪,云财经讯，力源信息在互动平台表示，公司旗下子公司帕太和比亚迪在汽车业务方面深度合作，涉及自研和代工项目，在汽车上的多媒体系统、空调系统、仪表、BMS、DCDC、变频器、车身控制等方面都有供货
东风汽车,泰晶科技,云财经讯，8月3日，湖北省科技厅公示2021年度中央引导地方科技发展资金专项“车规级MCU与专用芯片及控制器研制”，项目由东风汽车集团股份有限公司牵头，联合泰晶科技股份有限公司，武汉理工大学、武汉飞思灵微电子技术有限公司、湖北三维半导体集成制造创新中心有限责任公司、武汉菱电汽车电控系统股份有限公司等单位组成科技创新公关联合体，开展车规级芯片的开发，解决当前国内汽车芯片国产化率低，严重供需不足的现状
金陵体育,莱茵体育,云财经讯，8月4日，体育产业概念开盘多股涨停，包括金陵体育、莱茵体育、舒华体育等
格力电器,中远海发,锆产品价格全线大涨，相关公司望受益；现代汽车拓展燃料电池应用，行业望迎来加速发展；国务院印发全民健身计划，行业迎来广阔发展空间；5G又一里程碑，全球首个毫米波数据连接完成；又一省级视频会议系统国产化，机构看好信创前景；格力电器回购金额已超100亿元；中远海发获河南伊洛举牌；腾讯推出游戏未成年人保护“双减双打”措施；美股三大指数集体收涨，中概手游股下挫
天风证券,移远通信,云财经讯，天风证券研报认为，受益物联网模组量价齐升，移远通信作为行业龙头竞争优势明显，将充分享受行业红利，同时公司积极开拓行业客户，份额持续提升，驱动公司持续高增长
比亚迪,宁德时代,这个致力于高新技术的工业园聚集了比亚迪、宁德时代、泰丰先行等锂电产业龙头
崧盛股份,生物股份,云财经讯，崧盛股份：与福建省中科生物股份有限公司签署战略合作框架协议，将在LED植物照明领域展开全面合作，包括但不限于产品方案、技术实现、市场合作、品牌宣传等
新莱应材,比亚迪,云财经讯，新莱应材回复关注函，德国商先创及比亚迪相关业务目前对公司的营收贡献较小，对公司业绩无重大影响，是公司在锂电新能源等行业的市场布局，未来的业务规模存在不确定性
邮储银行,中国银行,云财经讯，邮储银行：中国银行保险监督管理委员会已核准刘建军先生担任本行行长及执行董事的任职资格，刘建军自2021年8月1日起正式就任本行行长及执行董事
盛屯矿业,厦钨新能,云财经讯，盛屯矿业公告，公司参股公司厦钨新能源将于2021年8月5日在上海证券交易所上市
国轩高科,中信建投,云财经讯，国轩高科今日涨停，深股通买入5.65亿元并卖出3.24亿元，中信建投长沙芙蓉中路买入1.15亿元
神州数码,农业银行,云财经讯，神州数码消息，8月2日，农业银行总行商用数据脱敏管理工具项目评标结果正式揭晓，神州数码自主研发的TDMP数据脱敏系统从十几家参选商中脱颖而出，成为该项目服务商
上海天洋,东方日升,云财经讯，上海天洋在互动平台表示，公司抓住光伏发展的历史性机遇，不断拓展行业内优质的客户资源，目前已向正泰、东方日升等客户实现稳定供货，公司目前在不断扩充光伏封装膜的产能，并积极开拓排名靠前的下游组件客户，随着产能的不断扩张以及大客户的后续开拓，公司对光伏类产品的未来充满期望
金风科技,中国银行,云财经讯，近日，金风科技与中国银行签署战略合作协议，双方约定在原有良好合作基础上，继续推动绿色金融工具创新，积极统筹协调境内、境外两个市场，调动和安排中国银行全球资源和服务能力，向金风科技及其绿色产业链提供“一揽子”全面金融服务
海量数据,比亚迪,云财经讯，海量数据今日官微消息，日前，比亚迪与海量数据举办“共创未来——比亚迪携手海量数据库Vastbase启动仪式”
海量数据,比亚迪,本次海量数据Vastbase在比亚迪的落地，标志着海量数据与比亚迪在数据库技术领域的合作进入一个新阶段
亿纬锂能,恩捷股份,云财经讯，亿纬锂能高开4.38%，公司拟与恩捷股份合作开展锂离子电池隔离膜和涂布膜的制造，项目计划投资总额为52亿元
永太科技,宁德时代,云财经讯，永太科技高开8.48%，公司与宁德时代签订物料采购协议，宁德时代向公司采购六氟磷酸锂、双氟磺酰亚胺锂（LIFSI）和碳酸亚乙烯酯（VC）产品
深圳燃气,东方日升,云财经讯，深圳燃气开盘涨停，封单超286万手，公司拟18亿元收购东方日升旗下光伏胶膜供应商斯威克控股权
杭州银行,中国太保,云财经讯，针对今年以来连续减持杭州银行，中国太保表示，中国太保高度认可入股以来杭州银行创造的良好业绩
中信证券,中兴通讯,云财经讯，中信证券研报认为，5G设备+ICT设备份额提升将成为中兴通讯业绩增长的强劲动能，子公司中兴微电子的加快发展有望带动公司估值提升
中信证券,长城汽车,云财经讯，中信证券研报认为，长城汽车坦克600预计将于8月上市，预计坦克有望成为“个性”但不“小众”的潮流品牌，并在利润端再造一个长城汽车
华新水泥,海螺水泥,考虑到当前估值，我们认为龙头企业具备配置价值，推荐华新水泥、海螺水泥，建议关注中国建材
启明星辰,双环传动,云财经讯，在外资“买爆”启明星辰后，近期外资又相中了双环传动(002472)
格力电器,环能科技,云财经讯，近日，格力电器热泵烟草烘干机实验室经过建科环能科技有限公司建筑环境与能源检测院专业评定，各项指标均符合要求，格力成功拿下全国首张评定证书
中科创达,德赛西威,云财经讯，梳理发现，近期，智能汽车板块龙头中科创达、德赛西威均获机构扎堆调研，甚至还有机构多次参与，屡试不爽
中科创达,九鼎投资,8月1日，中科创达披露最新调研信息显示，有272家机构参与了公司上半年业绩说明会，其中不乏有嘉实基金、景顺长城、兴全基金、易方达基金和中欧基金等明星公募参与，也有高毅资产、朱雀基金、九鼎投资等阳光私募以及高盛、花旗银行、红杉资本、三星资产等海外机构亲自调研
中信证券,国泰君安,此外，深股通专用席位（代表外资）净买入了3.37亿元，中信证券陕西分公司净买入3亿元，国泰君安南京太平南路净买入2.9亿元
顺丰控股,圆通速递,而在民营快递物流企业中，此前国内也仅有顺丰控股、圆通速递两家公司拥有自有航司
紫金矿业,西部矿业,从增持和新进持仓股票来看，邓晓峰对有色金属尤为关注，二季度重点加仓了紫金矿业和西部矿业，冯柳和杨东则较为关注军工股
涪陵榨菜,安琪酵母,景林资产和石锋资产则分别新进涪陵榨菜和安琪酵母
中信证券,宁波银行,该产品500万起购，封闭期5年，全市场仅4家渠道有售，包括招行、平安、中信证券和宁波银行
厦门钨业,厦钨新能,云财经讯，厦门钨业：控股子公司厦钨新能股票将于8月5日在科创板上市
中电科,福田汽车,云财经讯，天眼查显示，近日，北京国家新能源汽车技术创新中心有限公司发生工商变更，新增股东中电科投资控股有限公司、北汽福田汽车股份有限公司、河钢集团有限公司等，同时公司注册资本由1.6亿人民币增至约4亿人民币，增幅约150%
新钢股份,华菱钢铁,云财经讯，8月2日，煤炭、钢铁等周期股全线走低，截至发稿，新钢股份跌停，华菱钢铁等跌逾9%
华安证券,贵州茅台,云财经讯，华安证券研报认为，贵州茅台二季度业绩符合预期，年度目标可稳步实现
国泰君安,贵州茅台,云财经讯，国泰君安证券点评贵州茅台2021年中报称，业绩符合预期，税金季度波动消退，报表保持高质量呈现，维持增持评级
东北证券,贵州茅台,云财经讯，东北证券研报指出，预计贵州茅台2021-2023年EPS为41.41/46.05/51.18元，对应PE为41/36/33倍，公司龙头地位稳健，成长路径清晰，维持“买入”评级，目标调至2072元
三房巷,荣盛石化,三房巷、荣盛石化等相关公司也在积极升级技改与布局PTA产业链项目
华西证券,长城军工,其中，华西证券8月5日将迎来7.49亿股首发原股东限售股份解禁，解禁市值65.97亿元，长城军工也将于8月6日迎来4.27亿股首发限售股解禁，解禁市值为54.85亿元
中富通,中国电信,云财经讯，中富通公告，中国电信-阳光采购网外部门户近日对中国电信江苏公司(南京、苏州、镇江、南通及盐城地区)通信工程管线施工(市管市立项项目)集中招标项目中标候选人进行了公示，公司为中标候选人之一，项目中标合计总金额约为1.74亿元(含税)
中科创达,江淮汽车,云财经讯，中科创达消息，近日，江淮汽车集团智能网联汽车研究院院长李卫兵一行到访中科创达上海智能体验中心，与中科创达执行总裁武文光等代表围绕智能座舱开发、基于Kanzi的人机交互界面设计等进行了深入探讨，并对未来双方的合作进行了畅想与交流
恩捷股份,胜利精密,云财经讯，恩捷股份(002812)8月2日晚间公告，公司拟与公司实控人李晓明家族成员、胜利精密共同出资设立合资公司，其中公司、李晓明家族方面合计持股65%，胜利精密持股35%
永太科技,宁德时代,云财经讯，永太科技(002326)8月2日晚间公告，与宁德时代签订物料采购协议，宁德时代向公司采购六氟磷酸锂、双氟磺酰亚胺锂（LIFSI）和碳酸亚乙烯酯（VC）产品
维宏股份,中信建投,云财经讯，维宏股份(300508)8月2日晚披露股票交易异常波动公告：7月30日中信建投发布“厚积薄发，激光与车铣等领域开始发力”简报，指出公司收购的南京开通仅半年度就大幅超额完成全年业绩对赌等
深圳燃气,东方日升,云财经讯，深圳燃气(601139)8月2日晚间公告，公司以及下属子公司深燃鲲鹏合计出资17.84亿元，设立项目投资公司（注册资本18亿元），由项目投资公司以18亿元的价格收购东方日升(300118)持有的斯威克1.4亿股股份，交易完成后项目投资公司持有斯威克50%股份
兴业证券,广发证券,买方均为兴业证券莆田学园中街证券营业部，卖方分别为兴业证券莆田学园中街证券营业部和广发证券上海东方路证券营业部
亿纬锂能,恩捷股份,云财经讯，亿纬锂能(300014)8月2日晚间公告，拟与恩捷股份合作在荆门设立合资公司，该合资公司将专注于锂离子电池隔离膜和涂布膜的制造，年产能为16亿平米湿法基膜以及与之产能完全匹配的涂布膜，并优先向公司及其子公司供应，项目计划投资总额为52亿元
飞利信,广发证券,云财经讯，飞利信消息，近日，飞利信安全技术中心成功中标广发证券2021国家护网项目web防护设备项目
飞利信,广发证券,飞利信的安全技术团队将深度调研客户在网络环境下的业务安全场景，将Web应用防火墙部署在马场数据中心交易线路和测试网、科学城数据中心手机交易线路和网上交易线路以及广发证券大厦智能网和测试网，为相关入口的互联网Web应用提供安全防护能力
中国电信,中国联通,经过中国信通院及中国电信、中国移动、中国联通三大运营商相关团队的紧急升级扩容，行程卡网页版、微信小程序及APP目前已经全部恢复查询功能
上海银行,中国银行,云财经讯，上海银行公告，近日，公司收到《中国银保监会关于筹建上银理财有限责任公司的批复》，中国银行保险监督管理委员会同意公司筹建上银理财有限责任公司
中国平安,贵州茅台,对中国平安加仓金额最大，对贵州茅台减仓金额最大
东方雨虹,中国平安,此外，北向资金对东方雨虹的加仓金额与中国平安接近，在7月28日、7月29日、7月30日连续加仓东方雨虹
华工科技,三安光电,值得一提的是，从增持和新进持仓的股票来看，社保基金对科技股尤为关注，二季度重点加仓了华工科技，还新进买入了三安光电
招商银行,平安银行,而这也是继招商银行、平安银行对基金代销费率打折后，又一头部券商加入战局
云南白药,青岛啤酒,5月21日至6月8日，共有超过338个老字号品牌的销量翻番，五芳斋、光明、海天、云南白药、青岛啤酒等老字号占据了销量榜前列
迈瑞医疗,爱尔眼科,云财经讯，创业板指跌超1%，权重迈瑞医疗、爱尔眼科等大幅下挫
中信证券,宁德时代,云财经讯，中信证券研报指出，预计宁德时代发布的钠离子电池技术不会改变今明两年锂供应紧张的局面
中信证券,宁德时代,云财经讯，中信证券研报认为，宁德时代率先发布第一代钠离子电池，能量密度等性能、AB结构创新等超出市场预期，彰显公司极强的创新能力，引领产业发展
长远锂科,冠石科技,云财经讯，今日可申购长远锂科和冠石科技，长远锂科发行市盈率136.31倍，申购代码为：787779，申购价格：5.65元，单一账户申购上限6.9万股，申购数量500股整数倍
中国出版,中国电信,云财经讯，中国出版(601949)7月30日晚间公告，出版集团拟通过协议转让方式，将所持公司股份1.39亿股（占公司总股本的7.6%）转让给中国电信集团，转让价格为5.97元/股，价款总额8.27亿元
智慧能源,蓝天燃气,2019年3月至2020年1月，公司控股子公司无锡协鑫智慧能源运营管理有限公司、协鑫智慧能源股份有限公司、广州协鑫蓝天燃气热电有限公司向六家第三方供应商江苏东凯能源有限公司等预付货款1.53亿元未及时结算
国中水务,海通证券,云财经讯，国中水务(600187)7月30日晚间公告，公司拟投资不超过3亿元，认购由伍文资本作为基金管理人、海通证券作为基金托管人的伍文十全十美私募证券投资基金，该基金投资于证券、债券市场
银轮股份,严牌股份,云财经讯，银轮股份：参股公司严牌股份首次公开发行股票获得中国证监会批准
北方稀土,包钢股份,云财经讯，北方稀土公告，公司拟在内蒙古自治区产权交易中心以公开挂牌方式，引入两个及以上战略投资者对节能环保公司进行增资，同时公司向引入的战略投资者转让所持有的节能环保公司部分股权；公司关联方包钢股份同步以自有资金向节能环保公司协议增资
贵阳银行,中国银行,云财经讯，贵阳银行：根据有关规定，中国银行保险监督管理委员会贵州监管局已核准盛军担任公司董事、行长的任职资格
天齐锂业,中国银河,云财经讯，天齐锂业今日涨停，两机构合计买入7.05亿元，一机构卖出2.04亿元，中国银河北京方庄南路卖出3.37亿元
上汽集团,每日互动,云财经讯，近日，上汽集团与每日互动宣布达成战略合作
同花顺,贵州茅台,同花顺数据显示，自年初高点（2月10日）以来，贵州茅台累计跌超27%，大幅跑输上证指数（-6.71%），总市值已跌去超过1.05万亿元
招商银行,上海银行,日前，央行官宣招商银行被纳入数字人民币运营机构，上海银行等多家商业银行积极参与数字人民币钱包的推广
东方财富,华工科技,二季度，社保基金和QFII重点加仓了互联网龙头东方财富；社保基金和险资则对激光设备龙头华工科技较为青睐
辰欣药业,科伦药业,云财经讯，辰欣药业(603367)7月29日晚间公告，天津乾鼎向科伦药业(002422)、石四药协议转让所持辰欣药业10%、6.1015%
辰欣药业,科伦药业,云财经讯，辰欣药业：股东天津乾鼎分别向科伦药业、石四药协议转让其持有的辰欣药业10%和6.1015%股份，转让款合计9.34亿元
